vs,loss,dm_stat,p_value,preferred
EWMA (λ=0.94),MSE,-2.0586691357480977,0.040040359259616395,model1
EWMA (λ=0.94),QLIKE,-2.4373250588915814,0.01514186770795439,model1
Rolling Var 5d,MSE,-2.8754424526245743,0.00420566590221004,model1
Rolling Var 5d,QLIKE,-2.5966748049984587,0.009688564412123204,model1
Rolling Var 10d,MSE,-4.067439474077442,5.5168344274828485e-05,model1
Rolling Var 10d,QLIKE,-2.701485155839059,0.007136074139048323,model1
Rolling Var 21d,MSE,-2.6587563046725613,0.00809287072789144,model1
Rolling Var 21d,QLIKE,-2.183469752249101,0.029462608896332277,model1
Rolling Var 63d,MSE,-1.599821239758182,0.11026612417147619,neither
Rolling Var 63d,QLIKE,-1.2052365625101022,0.22867868820933532,neither
RW Variance,MSE,-3.929516590990859,9.702329556239568e-05,model1
RW Variance,QLIKE,-1.564758988015787,0.11826831393113355,neither
Implied Vol 1M,MSE,2.347240565296275,0.01929981487641262,model2
Implied Vol 1M,QLIKE,2.153976907602985,0.031716334604465435,model2
