proxy,proxy_window,model,mse,qlike
r²_t,1,AutoVolForecaster,5.741513977520127e-09,-9.096118449541134
r²_t,1,EWMA (λ=0.94),5.810766068649405e-09,-9.05685261348411
r²_t,1,Rolling Var 5d,6.300456478490414e-09,-8.024925427727656
r²_t,1,Rolling Var 10d,6.0809973119148005e-09,-8.697651482159216
r²_t,1,Rolling Var 21d,5.928341908602801e-09,-8.928968042978997
r²_t,1,Rolling Var 63d,5.921818239847505e-09,-9.049376459007956
r²_t,1,RW Variance,1.034638802286478e-08,11458819414706.828
r²_t,1,Implied Vol 1M,5.465894277134216e-09,-9.211437110778581
RV_5d,5,AutoVolForecaster,1.0017186248943505e-09,-9.251698788913101
RV_5d,5,EWMA (λ=0.94),1.1508095962063468e-09,-9.206027250702968
RV_5d,5,Rolling Var 5d,6.633387174362747e-10,-9.171950858148888
RV_5d,5,Rolling Var 10d,1.0552956321189719e-09,-9.21865974557268
RV_5d,5,Rolling Var 21d,1.2387203213524186e-09,-9.189357203794854
RV_5d,5,Rolling Var 63d,1.4968704254212191e-09,-9.118234186076865
RV_5d,5,RW Variance,4.320772673903631e-09,45992702593667.32
RV_5d,5,Implied Vol 1M,1.1829235138672933e-09,-9.195720251152505
RV_10d,10,AutoVolForecaster,3.24348032002001e-10,-9.266536349708486
RV_10d,10,EWMA (λ=0.94),4.1016279566153723e-10,-9.24061839817629
RV_10d,10,Rolling Var 5d,4.064172065439365e-10,-8.91795951715176
RV_10d,10,Rolling Var 10d,2.0833518096145036e-10,-9.293349731658518
RV_10d,10,Rolling Var 21d,5.032880832891976e-10,-9.221693138369382
RV_10d,10,Rolling Var 63d,8.329002124707186e-10,-9.12846941117895
RV_10d,10,RW Variance,5.003071740813869e-09,43323049525268.56
RV_10d,10,Implied Vol 1M,6.250028656398776e-10,-9.170300173756553
RV_21d,21,AutoVolForecaster,1.2204032054182636e-10,-9.212652290763822
RV_21d,21,EWMA (λ=0.94),9.491123913773915e-11,-9.215876529308256
RV_21d,21,Rolling Var 5d,7.618487703760357e-10,-8.23152677114991
RV_21d,21,Rolling Var 10d,2.943502201071806e-10,-9.019155166758951
RV_21d,21,Rolling Var 21d,5.7352137279840837e-11,-9.22726424988567
RV_21d,21,Rolling Var 63d,3.888449075381163e-10,-9.136682628932768
RV_21d,21,RW Variance,5.523861499203719e-09,50790960177884.11
RV_21d,21,Implied Vol 1M,2.6760057710875637e-10,-9.158930575970878
RV_63d,63,AutoVolForecaster,2.3217258432210796e-10,-9.051986202980485
RV_63d,63,EWMA (λ=0.94),1.8298482868028217e-10,-9.063828832855167
RV_63d,63,Rolling Var 5d,1.0951576534709347e-09,-7.739538683791202
RV_63d,63,Rolling Var 10d,6.642506888529308e-10,-8.643863007252358
RV_63d,63,Rolling Var 21d,3.056645575706878e-10,-8.98698079080227
RV_63d,63,Rolling Var 63d,6.4564237248885905e-12,-9.111379830341825
RV_63d,63,RW Variance,5.785723741502539e-09,54474587244073.09
RV_63d,63,Implied Vol 1M,1.6880673935522795e-10,-9.07030903860945
